Country Name,Country Code,Series Name,Series Code,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,total sum
Viet Nam,VNM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.030207899995773023,0.06467190159114371,2.781322760100107,3.902796799843112,4.803347775189422,7.02759256377697,11.939482834111198,8.585965854603918,9.713080637121557,8.270096758209698,6.141214402645859,4.922663456801236,4.163924079556931,3.9773354526156957,3.9926870513399613,3.6660122999746156,3.544081072881993,3.3904036392374555,3.616000904325218,8.654717714348049,9.663039054557201,7.16881988898278,5.434739630458154,4.304874726014801,4.2783231813738745,4.164544800345257,3.9408616350876398,4.931907476782416,4.900893029241928,5.011486859112117,4.998283288928786,4.821075042384618,4.558361814893842,4.2770806377184405,4.378643793805445,
Viet Nam,VNM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7679999.9,4070000.0,180000000.0,375190278.0,473945856.0,926303714.9,1944515936.0,1780400000.0,2395000000.0,2220000000.0,1671000000.0,1412000000.0,1298000000.0,1300000000.0,1400000000.0,1450000000.0,1610000000.0,1954000000.0,2400000000.0,6700000000.0,9579000000.0,7600000000.0,8000000000.0,7430000000.0,8368000000.0,8900000000.0,9200000000.0,11800000000.0,12600000000.0,14100000000.0,15500000000.0,16120000000.0,15800000000.0,15660000000.0,17900000000.0,210059105784.8
Viet Nam,VNM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,75.591,75.466,75.181,74.936,74.657,74.337,72.168,72.012,71.787,70.666,70.985,70.963,70.38,69.882,70.896,71.861,72.841,73.65,74.511,75.325,75.507,75.405,76.003,76.069,75.772,75.144,74.706,74.733,74.359,71.741,71.165,72.012,
Viet Nam,VNM,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,,77.21,,,,,,,75.8,74.3,73.7,73.5,72.3,73.0,72.5,72.0,71.41,,,74.35,,75.83,76.17,76.27,76.19,77.02,77.04,77.2,76.56,76.13,75.61,75.63,73.28,72.9,73.08,
Viet Nam,VNM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,78.4,86.1759872436523,86.9944381713867,88.2350997924805,88.9198989868164,89.1,90.270866394043,90.951042175293,96.1,96.0,93.0883560180664,93.8383331298828,96.1,97.43,99.0,97.89,98.5282669067383,99.2,99.2542114257813,99.2,100.0,100.0,99.4,99.8,100.0,,
Viet Nam,VNM,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,,,,,22.50752813664821,20.07455403613341,,19.566488999178652,20.710061903571585,22.507310050602154,24.207928989493567,36.372758800026006,44.60459281868284,52.11890836181552,53.03554563406886,61.62916521991448,69.26358598475899,70.95984960629146,79.22366732136045,100.57977283682864,93.65716993379523,105.60693806867208,90.45446177025472,78.37215719963467,84.81647673472872,93.7626959024118,101.73398364376025,111.17465397699682,120.64029379379602,123.50530014922818,124.98698870318712,129.14767762177456,140.60367550942857,146.2925425715267,137.80308433016216,
Viet Nam,VNM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,40.1657203822899,42.4451250139849,43.8074123636177,46.9905457039141,48.9251945689942,48.0884087276966,47.8808858390548,49.7151204031794,51.3232296369754,55.3033191440045,59.8849626753952,64.3272394775767,69.6949931031089,85.8053032346153,91.5688306084693,100.0,118.677732277071,129.471120024261,138.006729874285,143.643689923265,144.550370194288,148.407332801278,153.631652156685,159.069641224583,163.516947912918,168.783721483338,171.880422664063,177.305841095851,
Viet Nam,VNM,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,37.0967750549316,,38.5026741027832,,36.1702117919922,,35.4497337341309,39.6825408935547,26.6009845733643,25.8536586761475,25.3658542633057,31.5533981323242,28.6407775878906,35.4067001342773,31.4285717010498,32.7014236450195,35.5450248718262,38.3886260986328,41.8269233703613,40.476188659668,36.6666679382324,30.4761905670166,35.238094329834,32.8571434020996,41.4285697937012,45.7142868041992,45.7547187805176,
Viet Nam,VNM,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Viet Nam,VNM,Control of Corruption: Estimate,CC.EST,,,,,,,,,-0.489798933267593,,-0.491153985261917,,-0.584863126277924,,-0.560990810394287,-0.49087256193161,-0.756660282611847,-0.7295823097229,-0.747617363929749,-0.630165636539459,-0.711532890796661,-0.545064032077789,-0.622543275356293,-0.614729940891266,-0.532105982303619,-0.482674777507782,-0.438092947006226,-0.457813322544098,-0.489483952522278,-0.628040134906769,-0.511549293994904,-0.545818030834198,-0.37394705414772,-0.307860314846039,-0.287282675504684,
Viet Nam,VNM,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,
